법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,시행일자,자법타법여부,법령상세링크
232157,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,10ㆍ27법난법,010719,20210518,18146,일부개정,1371000,문화체육관광부,법률,20210518,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=232157&type=HTML&mobileYn=&efYd=20210518
235703,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,10ㆍ27법난법시행령,010831,20210929,32018,타법개정,1371000,문화체육관광부,대통령령,20210929,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=235703&type=HTML&mobileYn=&efYd=20210929
236231,현행,119구조ㆍ구급에 관한 법률,119법,011349,20211019,18487,일부개정,1661000,소방청,법률,20220120,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=236231&type=HTML&mobileYn=&efYd=20220120
236155,현행,119구조ㆍ구급에 관한 법률 시행령,119법시행령,011452,20211019,32070,일부개정,1661000,소방청,대통령령,20220106,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=236155&type=HTML&mobileYn=&efYd=20220106
241659,현행,119구조ㆍ구급에 관한 법률 시행규칙,119법시행규칙,011457,20220330,00324,타법개정,1661000,소방청,행정안전부령,20220330,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241659&type=HTML&mobileYn=&efYd=20220330
24144,현행,1945년이후종전의규정에의한학교졸업자자격인정령,NaN,004546,19691204,04401,전부개정,1342000,교육부,대통령령,19691204,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=24144&type=HTML&mobileYn=&efYd=19691204
206017,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,1959이전군퇴직금법,009678,20181224,16029,일부개정,1290000,국방부,법률,20190625,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=206017&type=HTML&mobileYn=&efYd=20190625
208133,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,1959이전군퇴직금법시행령,009990,20190325,29637,일부개정,1290000,국방부,대통령령,20190325,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=208133&type=HTML&mobileYn=&efYd=20190325
3274,현행,1980년해직공무원의보상등에관한특별조치법,1980해직자보상법,001348,19890329,04101,제정,1760000,인사혁신처,법률,19890329,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=3274&type=HTML&mobileYn=&efYd=19890329
204611,현행,1980년해직공무원의보상등에관한특별조치법시행령,1980해직자보상법시행령,004549,20180918,29181,타법개정,1760000,인사혁신처,대통령령,20180921,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=204611&type=HTML&mobileYn=&efYd=20180921
214477,현행,1인 창조기업 육성에 관한 법률,1인창조기업법,011370,20200218,17037,타법개정,1421000,중소벤처기업부,법률,20210219,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=214477&type=HTML&mobileYn=&efYd=20210219
230831,현행,1인 창조기업 육성에 관한 법률 시행령,1인창조기업법시행령,011474,20210406,31611,타법개정,1421000,중소벤처기업부,대통령령,20210408,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=230831&type=HTML&mobileYn=&efYd=20210408
239339,현행,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,평창올림픽법,011532,20220111,18750,타법개정,1371000,문화체육관광부,법률,20220111,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239339&type=HTML&mobileYn=&efYd=20220111
239581,현행,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,평창올림픽법시행령,011679,20220121,32352,타법개정,1371000,문화체육관광부,대통령령,20220121,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239581&type=HTML&mobileYn=&efYd=20220121
205822,현행,2023 새만금 세계스카우트잼버리 지원 특별법,새만금세계잼버리법,013210,20181218,15984,제정,1383000,여성가족부,법률,20191219,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=205822&type=HTML&mobileYn=&efYd=20191219
212307,현행,2023 새만금 세계스카우트잼버리 지원 특별법 시행령,새만금세계잼버리법시행령,013626,20191210,30241,제정,1383000,여성가족부,대통령령,20191219,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=212307&type=HTML&mobileYn=&efYd=20191219
234657,현행,2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법,순천만정원박람회법,014137,20210817,18399,제정,1400000,산림청,법률,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234657&type=HTML&mobileYn=&efYd=20220218
240347,현행,2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법 시행령,순천만정원박람회법시행령,014243,20220215,32436,제정,1400000,산림청,대통령령,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240347&type=HTML&mobileYn=&efYd=20220218
231363,현행,30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법,상등병전역자특별진급법,014061,20210413,17991,제정,1290000,국방부,법률,20211014,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=231363&type=HTML&mobileYn=&efYd=20211014
236011,현행,30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법 시행령,상등병전역자특별진급법시행령,014165,20211014,32036,제정,1290000,국방부,대통령령,20211014,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=236011&type=HTML&mobileYn=&efYd=20211014
233957,현행,3ㆍ15의거 참여자의 명예회복 등에 관한 법률,3ㆍ15의거법,014119,20210720,18301,제정,1741000,행정안전부,법률,20220121,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=233957&type=HTML&mobileYn=&efYd=20220121
239577,현행,3ㆍ15의거 참여자의 명예회복 등에 관한 법률 시행령,3ㆍ15의거법시행령,014229,20220121,32350,제정,1741000,행정안전부,대통령령,20220121,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239577&type=HTML&mobileYn=&efYd=20220121
162682,현행,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,세월호진상규명법,012159,20141119,12843,제정,1192000,해양수산부,법률,20150101,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=162682&type=HTML&mobileYn=&efYd=20150101
195782,현행,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,세월호진상규명법시행령,012290,20170726,28211,타법개정,1192000,해양수산부,대통령령,20170726,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=195782&type=HTML&mobileYn=&efYd=20170726
220911,현행,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,세월호피해지원법,012245,20200811,17472,타법개정,1092000 1192000,"국무조정실,해양수산부",법률,20200912,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=220911&type=HTML&mobileYn=&efYd=20200912
227113,현행,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,세월호피해지원법시행령,012272,20210105,31380,타법개정,1092000 1192000,"국무조정실,해양수산부",대통령령,20210105,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=227113&type=HTML&mobileYn=&efYd=20210105
228675,현행,4차산업혁명위원회의 설치 및 운영에 관한 규정,NaN,012976,20210112,31385,일부개정,1721000,과학기술정보통신부,대통령령,20210112,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=228675&type=HTML&mobileYn=&efYd=20210112
234839,현행,5ㆍ18민주유공자예우 및 단체설립에 관한 법률,5ㆍ18유공자법,009289,20210817,18439,일부개정,1180000,국가보훈처,법률,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234839&type=HTML&mobileYn=&efYd=20220218
